'userID', 'avgHoldTime', 'avgSeekTime', 'averageNgramTime', 'I ', 'AL', 'S ', 'KS', 'EI', 'D ', 'AK', 'L ', ' O', 'LE', 'MA', 'IN', 'SI', 'EL', 'E ', 'JA', 'LA'
3025, 75, 183, 528, 528, 528, 528, 528, 528, 463, 528, 528, 528, 528, 528, 826, 528, 528, 355, 528, 528
3026, 73, 1325, 3180, 3180, 3180, 3180, 3180, 3180, 3180, 3180, 3180, 3180, 3180, 3180, 3180, 3180, 3180, 3180, 3180, 3180
3027, 75, 946, 2048, 937, 368, 293, 422, 2048, 565, 401, 2048, 1242, 485, 413, 456, 676, 376, 349, 311, 387
3028, 77, 423, 1022, 1022, 1022, 1022, 542, 1022, 370, 1022, 1265, 1022, 1022, 1022, 475, 1022, 1022, 381, 1022, 1022
3029, 87, 1571, 3351, 3351, 327, 359, 374, 3351, 1202, 515, 3351, 1638, 3351, 374, 374, 592, 421, 406, 3351, 3351
3030, 84, 4187, 8630, 2371, 826, 8630, 8630, 8630, 8630, 8630, 8630, 359, 468, 8630, 421, 8630, 374, 343, 421, 422
3031, 78, 490, 1149, 289, 1149, 559, 312, 1149, 359, 410, 1149, 1149, 468, 415, 307, 340, 316, 348, 1149, 355
3032, 89, 266, 719, 577, 530, 343, 719, 719, 421, 406, 719, 327, 719, 719, 719, 719, 374, 1061, 359, 719
3033, 87, 647, 1479, 1479, 359, 811, 359, 1479, 1479, 453, 1479, 343, 343, 390, 358, 327, 359, 500, 375, 359
3034, 84, 299, 775, 375, 374, 775, 775, 296, 484, 775, 775, 374, 312, 374, 515, 775, 640, 1388, 374, 775
3035, 105, 1067, 2573, 2573, 2573, 2573, 2573, 2573, 2573, 2573, 2573, 2573, 2573, 2573, 2573, 2573, 2573, 2573, 2573, 2573
3036, 82, 670, 1552, 1552, 1552, 1552, 499, 1552, 1552, 1552, 1248, 2605, 1552, 1552, 483, 1552, 1552, 1552, 1552, 1552
3037, 88, 1146, 2513, 390, 421, 2513, 671, 2513, 421, 2513, 327, 359, 2513, 2513, 343, 2513, 2513, 312, 2513, 2513
3038, 88, 852, 1894, 374, 483, 281, 390, 1894, 374, 421, 1217, 577, 281, 406, 1894, 1894, 390, 328, 374, 1894
3039, 84, 2752, 5695, 1139, 374, 359, 281, 5695, 405, 359, 5695, 18986, 592, 546, 422, 889, 546, 656, 281, 452
3040, 81, 315, 809, 405, 374, 809, 484, 809, 765, 809, 530, 809, 421, 809, 499, 809, 809, 809, 359, 809
3041, 82, 1209, 2742, 2742, 2742, 2742, 374, 2742, 2742, 2742, 562, 2742, 2742, 2742, 2742, 2742, 2742, 2742, 2742, 2742
3042, 81, 594, 1363, 302, 442, 2147, 391, 305, 1363, 443, 339, 1363, 270, 301, 374, 1363, 294, 287, 326, 278
3043, 82, 804, 1785, 1785, 452, 1785, 1785, 374, 374, 1785, 1785, 2527, 296, 1202, 406, 297, 344, 312, 358, 421
3044, 85, 489, 1156, 336, 351, 1156, 415, 526, 357, 1180, 651, 341, 534, 416, 457, 1156, 371, 354, 345, 1156
3045, 78, 318, 795, 348, 333, 354, 446, 476, 602, 389, 378, 436, 383, 344, 413, 401, 1107, 358, 310, 360
3046, 73, 1509, 3473, 3473, 3473, 3473, 3473, 3473, 3473, 3473, 3473, 3473, 3473, 3473, 3473, 3473, 3473, 3473, 3473, 3473
3047, 79, 831, 1826, 833, 356, 1826, 441, 354, 341, 428, 485, 346, 397, 412, 417, 364, 355, 312, 316, 334
3048, 74, 212, 583, 583, 361, 583, 296, 583, 583, 352, 413, 583, 340, 583, 399, 603, 308, 318, 583, 583
3049, 78, 684, 1584, 1584, 1584, 1584, 1584, 1584, 1584, 1584, 1584, 376, 1584, 355, 1584, 1584, 1584, 1584, 1584, 1584
3050, 74, 1268, 2761, 2761, 2761, 2761, 2761, 350, 2761, 2761, 2761, 2761, 2761, 2761, 404, 364, 2761, 277, 2761, 2761
3051, 74, 1103, 2076, 2076, 986, 2076, 2076, 2076, 2076, 2076, 2076, 2076, 2076, 629, 2076, 460, 2076, 345, 2076, 2076
3052, 77, 1318, 2797, 1137, 391, 2797, 439, 2797, 313, 409, 2797, 362, 284, 345, 692, 455, 429, 334, 404, 325
